Load-Factor,Hashing-type,Search-type,Search-count
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,2
0.25,linear-probing,unsuccessful,2
0.25,double-hashing,unsuccessful,2
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
0.25,linear-probing,unsuccessful,1
0.25,double-hashing,unsuccessful,1
0.25,chaining,unsuccessful,1
